match_no,date,season,competition,stage,home_or_away,home_team,away_team,win_or_loss,goals,assists,mins_played,abs_rating,shots,shots_on_target,key_passes,motm,final_remarks,Name,Team
m_337,2011-09-10,11/12,La Liga,,A,Real Sociedad,Barcelona,draw,0,0,28,6.01,4.0,2.0,0.0,No,,Messi,Barcelona
m_336,2011-09-06,11/12,International Friendly,,N,Argentina,Nigeria,win,0,1,90,,,,,,,Messi,Argentina
m_335,2011-09-02,11/12,International Friendly,,N,Argentina,Venezuela,win,0,1,90,,,,,,,Messi,Argentina
m_334,2011-08-29,11/12,La Liga,,H,Barcelona,Villarreal,win,2,1,90,10.0,5.0,5.0,5.0,Yes,"2 inside box goal, 1 left foot goal, 1 right foot goal",Messi,Barcelona
m_333,2011-08-26,11/12,UEFA Super Cup,Final,N,Barcelona,FC Porto,win,1,1,90,,,,,,"1 inside box goal, 1 left foot goal",Messi,Barcelona
m_332,2011-08-17,11/12,Supercopa de Espana,Final,H,Barcelona,Real Madrid,win,2,1,90,,,,,,"2 inside box goal, 1 left foot goal, 1 right foot goal",Messi,Barcelona
m_331,2011-08-14,11/12,Supercopa de Espana,Final,A,Real Madrid,Barcelona,draw,1,1,90,,,,,,"1 inside box goal, 1 left foot goal",Messi,Barcelona
m_330,2011-07-16,10/11,Copa America,QF,H,Argentina,Uruguay,loss,0,1,120,,,,,,,Messi,Argentina
m_329,2011-07-11,10/11,Copa America,Group,H,Argentina,Costa Rica,win,0,2,90,,,,,,,Messi,Argentina
m_328,2011-07-07,10/11,Copa America,Group,H,Argentina,Colombia,draw,0,0,90,,,,,,,Messi,Argentina
m_327,2011-07-02,10/11,Copa America,Group,H,Argentina,Bolivia,draw,0,0,90,,,,,,,Messi,Argentina
m_326,2011-06-20,10/11,International Friendly,,H,Argentina,Albania,win,1,2,90,,,,,,"1 inside box goal, 1 left foot goal",Messi,Argentina
m_325,2011-05-28,10/11,Champs League,Final,N,Barcelona,Manchester United,win,1,0,90,10.0,5.0,3.0,4.0,Yes,"1 outside box goal, 1 left foot goal",Messi,Barcelona
m_324,2011-05-11,10/11,La Liga,,A,Levante,Barcelona,draw,0,0,90,8.52,5.0,0.0,1.0,Yes,,Messi,Barcelona
m_323,2011-05-08,10/11,La Liga,,H,Barcelona,Espanyol,win,0,0,90,7.08,2.0,0.0,1.0,No,,Messi,Barcelona
m_322,2011-05-03,10/11,Champs League,SF,H,Barcelona,Real Madrid,draw,0,0,90,8.52,6.0,3.0,1.0,Yes,,Messi,Barcelona
m_321,2011-04-30,10/11,La Liga,,A,Real Sociedad,Barcelona,loss,0,1,90,7.97,3.0,1.0,3.0,Yes,,Messi,Barcelona
m_320,2011-04-27,10/11,Champs League,SF,A,Real Madrid,Barcelona,win,2,0,90,10.0,4.0,2.0,3.0,Yes,"2 inside box goal, 1 left foot goal, 1 right foot goal",Messi,Barcelona
m_319,2011-04-23,10/11,La Liga,,H,Barcelona,Osasuna,win,1,0,32,7.16,1.0,1.0,1.0,No,"1 inside box goal, 1 right foot goal",Messi,Barcelona
m_318,2011-04-20,10/11,Copa del Rey,Final,N,Barcelona,Real Madrid,loss,0,0,120,,,,,,,Messi,Barcelona
m_317,2011-04-16,10/11,La Liga,,A,Real Madrid,Barcelona,draw,1,0,90,7.72,4.0,3.0,1.0,No,"1 pen goal, 1 left foot goal",Messi,Barcelona
m_316,2011-04-12,10/11,Champs League,QF,A,Shakhtar Donetsk,Barcelona,win,1,0,90,9.16,5.0,4.0,2.0,Yes,"1 inside box goal, 1 left foot goal",Messi,Barcelona
m_315,2011-04-09,10/11,La Liga,,H,Barcelona,Almeria,win,2,1,90,10.0,5.0,3.0,5.0,Yes,"1 pen goal, 1 inside box goal, 2 left foot goal",Messi,Barcelona
m_314,2011-04-06,10/11,Champs League,QF,H,Barcelona,Shakhtar Donetsk,win,0,1,90,9.65,5.0,3.0,1.0,Yes,,Messi,Barcelona
m_313,2011-04-02,10/11,La Liga,,A,Villarreal,Barcelona,win,0,0,37,6.92,1.0,1.0,1.0,No,,Messi,Barcelona
m_312,2011-03-26,10/11,International Friendly,,A,USA,Argentina,draw,0,0,90,,,,,,,Messi,Argentina
m_311,2011-03-19,10/11,La Liga,,H,Barcelona,Getafe,win,0,1,90,7.29,4.0,2.0,2.0,No,,Messi,Barcelona
m_310,2011-03-13,10/11,La Liga,,A,Sevilla,Barcelona,draw,0,0,90,7.76,6.0,2.0,1.0,No,,Messi,Barcelona
m_309,2011-03-08,10/11,Champs League,R16,H,Barcelona,Arsenal,win,2,0,90,9.84,6.0,4.0,1.0,Yes,"1 pen goal, 1 inside box goal, 2 left foot goal",Messi,Barcelona
m_308,2011-03-05,10/11,La Liga,,H,Barcelona,Real Zaragoza,win,0,0,90,8.65,4.0,1.0,1.0,No,,Messi,Barcelona
m_307,2011-03-02,10/11,La Liga,,A,Valencia,Barcelona,win,1,0,90,8.35,8.0,5.0,0.0,No,"1 inside box goal, 1 left foot goal",Messi,Barcelona
m_306,2011-02-26,10/11,La Liga,,A,Mallorca,Barcelona,win,1,0,90,8.4,2.0,1.0,2.0,No,"1 inside box goal, 1 header goal",Messi,Barcelona
m_305,2011-02-20,10/11,La Liga,,H,Barcelona,Athletic Bilbao,win,1,0,90,9.49,7.0,3.0,1.0,Yes,"1 inside box goal, 1 right foot goal",Messi,Barcelona
m_304,2011-02-16,10/11,Champs League,R16,A,Arsenal,Barcelona,loss,0,1,90,7.76,5.0,1.0,2.0,No,,Messi,Barcelona
m_303,2011-02-12,10/11,La Liga,,A,Sporting Gijon,Barcelona,draw,0,1,90,8.04,4.0,1.0,3.0,Yes,,Messi,Barcelona
m_302,2011-02-09,10/11,International Friendly,,N,Argentina,Portugal,win,1,1,90,,,,,,"1 pen goal, 1 left foot goal",Messi,Argentina
m_301,2011-02-05,10/11,La Liga,,H,Barcelona,Atletico Madrid,win,3,0,90,10.0,6.0,5.0,3.0,Yes,"2 inside box goal, 1 outside box goal, 3 left foot goal",Messi,Barcelona
m_300,2011-01-29,10/11,La Liga,,A,Hercules,Barcelona,win,2,0,90,10.0,10.0,6.0,3.0,Yes,"2 inside box goal, 2 left foot goal",Messi,Barcelona
m_299,2011-01-26,10/11,Copa del Rey,SF,H,Barcelona,Almeria,win,2,1,90,,,,,,"1 inside box goal, 1 outside box goal, 2 left foot goal",Messi,Barcelona
m_298,2011-01-22,10/11,La Liga,,H,Barcelona,Racing Santander,win,1,1,90,9.2,4.0,4.0,3.0,Yes,"1 pen goal, 1 left foot goal",Messi,Barcelona
m_297,2011-01-19,10/11,Copa del Rey,QF,A,Real Betis,Barcelona,loss,1,0,90,,,,,,"1 inside box goal, 1 left foot goal, 1 pen missed",Messi,Barcelona
m_296,2011-01-16,10/11,La Liga,,H,Barcelona,Malaga,win,0,1,90,8.61,3.0,2.0,3.0,No,,Messi,Barcelona
m_295,2011-01-12,10/11,Copa del Rey,QF,H,Barcelona,Real Betis,win,3,0,86,,,,,,"3 inside box goal, 3 left foot goal",Messi,Barcelona
m_294,2011-01-08,10/11,La Liga,,A,Deportivo La Coruna,Barcelona,win,1,2,90,9.84,2.0,2.0,2.0,Yes,"1 free kick goal, 1 left foot goal",Messi,Barcelona
m_293,2011-01-05,10/11,Copa del Rey,R16,A,Athletic Bilbao,Barcelona,draw,0,1,90,,,,,,,Messi,Barcelona
m_292,2010-12-21,10/11,Copa del Rey,R16,H,Barcelona,Athletic Bilbao,draw,0,0,37,,,,,,,Messi,Barcelona
m_291,2010-12-18,10/11,La Liga,,A,Espanyol,Barcelona,win,0,2,90,9.76,3.0,2.0,2.0,Yes,,Messi,Barcelona
m_290,2010-12-12,10/11,La Liga,,H,Barcelona,Real Sociedad,win,2,0,90,9.45,9.0,3.0,1.0,Yes,"2 inside box goal, 2 left foot goal",Messi,Barcelona
m_289,2010-12-07,10/11,Champs League,Group,H,Barcelona,Rubin Kazan,win,0,0,27,7.25,3.0,0.0,0.0,No,,Messi,Barcelona
m_288,2010-12-04,10/11,La Liga,,A,Osasuna,Barcelona,win,2,1,90,10.0,5.0,4.0,2.0,Yes,"1 pen goal, 1 inside box goal, 2 left foot goal",Messi,Barcelona
m_287,2010-11-29,10/11,La Liga,,H,Barcelona,Real Madrid,win,0,2,90,10.0,3.0,0.0,2.0,Yes,,Messi,Barcelona
m_286,2010-11-24,10/11,Champs League,Group,A,Panathinaikos,Barcelona,win,1,0,90,9.24,3.0,1.0,2.0,Yes,"1 inside box goal, 1 left foot goal",Messi,Barcelona
m_285,2010-11-20,10/11,La Liga,,A,Almeria,Barcelona,win,3,2,90,10.0,5.0,4.0,5.0,Yes,"2 inside box goal, 1 outside box goal, 3 left foot goal",Messi,Barcelona
m_284,2010-11-17,10/11,International Friendly,,N,Argentina,Brazil,win,1,0,90,,,,,,"1 inside box goal, 1 left foot goal",Messi,Argentina
m_283,2010-11-13,10/11,La Liga,,H,Barcelona,Villarreal,win,2,0,90,9.04,6.0,4.0,1.0,Yes,"2 inside box goal, 1 left foot goal, 1 right foot goal",Messi,Barcelona
m_282,2010-11-10,10/11,Copa del Rey,R32,H,Barcelona,AD Ceuta,win,1,0,29,,,,,,"1 inside box goal, 1 left foot goal",Messi,Barcelona
m_281,2010-11-07,10/11,La Liga,,A,Getafe,Barcelona,win,1,1,90,9.25,5.0,3.0,3.0,Yes,"1 inside box goal, 1 left foot goal",Messi,Barcelona
m_280,2010-11-02,10/11,Champs League,Group,A,FC Copenhagen,Barcelona,draw,1,0,90,7.74,6.0,3.0,2.0,No,"1 inside box goal, 1 right foot goal",Messi,Barcelona
m_279,2010-10-30,10/11,La Liga,,H,Barcelona,Sevilla,win,2,1,90,10.0,5.0,2.0,3.0,Yes,"1 inside box goal, 1 outside box goal, 2 left foot goal",Messi,Barcelona
m_278,2010-10-23,10/11,La Liga,,A,Real Zaragoza,Barcelona,win,2,0,90,9.81,6.0,5.0,2.0,Yes,"2 inside box goal, 2 left foot goal",Messi,Barcelona
m_277,2010-10-20,10/11,Champs League,Group,H,Barcelona,FC Copenhagen,win,2,0,90,9.19,5.0,3.0,2.0,Yes,"1 inside box goal, 1 outside box goal, 2 left foot goal",Messi,Barcelona
m_276,2010-10-16,10/11,La Liga,,H,Barcelona,Valencia,win,0,0,90,6.81,2.0,1.0,0.0,No,,Messi,Barcelona
m_275,2010-10-08,10/11,International Friendly,,A,Japan,Argentina,loss,0,0,90,,,,,,,Messi,Argentina
m_274,2010-10-03,10/11,La Liga,,H,Barcelona,Mallorca,draw,1,0,90,9.2,9.0,2.0,4.0,Yes,"1 outside box goal, 1 left foot goal",Messi,Barcelona
