match_no,date,season,competition,stage,home_or_away,home_team,away_team,win_or_loss,goals,assists,mins_played,abs_rating,shots,shots_on_target,key_passes,motm,final_remarks,Name,Team
r_525,2012-01-10,11/12,Copa del Rey,R16,A,Malaga,Real Madrid,win,0,0,90,,,,,,,Ronaldo,Real Madrid
r_524,2012-01-07,11/12,La Liga,,H,Real Madrid,Granada,win,1,0,90,8.0,10.0,1.0,2.0,No,"1 outside box goal, 1 right foot goal",Ronaldo,Real Madrid
r_523,2012-01-03,11/12,Copa del Rey,R16,H,Real Madrid,Malaga,win,0,0,90,,,,,,,Ronaldo,Real Madrid
r_522,2011-12-17,11/12,La Liga,,A,Sevilla,Real Madrid,win,3,0,90,9.1,8.0,4.0,1.0,No,"1 pen goal, 1 inside box goal, 1 outside box goal, 3 right foot goal",Ronaldo,Real Madrid
r_521,2011-12-13,11/12,Copa del Rey,R32,A,SD Ponferradina,Real Madrid,win,1,0,78,,,,,,"1 inside box goal, 1 left foot goal",Ronaldo,Real Madrid
r_520,2011-12-10,11/12,La Liga,,H,Real Madrid,Barcelona,loss,0,0,90,6.97,7.0,2.0,0.0,No,,Ronaldo,Real Madrid
r_519,2011-12-03,11/12,La Liga,,A,Sporting Gijon,Real Madrid,win,1,0,90,8.99,7.0,1.0,5.0,No,"1 inside box goal, 1 right foot goal",Ronaldo,Real Madrid
r_518,2011-11-26,11/12,La Liga,,H,Real Madrid,Atletico Madrid,win,2,1,90,9.03,6.0,3.0,1.0,Yes,"2 pen goal, 2 right foot goal",Ronaldo,Real Madrid
r_517,2011-11-19,11/12,La Liga,,A,Valencia,Real Madrid,win,1,0,90,7.86,5.0,2.0,2.0,No,"1 inside box goal, 1 right foot goal",Ronaldo,Real Madrid
r_516,2011-11-15,11/12,Euros Qualifier,Play-off,H,Portugal,Bosnia and Herzegovina,win,2,0,90,,,,,,"1 free kick goal, 1 inside box goal, 1 left foot goal, 1 right foot goal",Ronaldo,Portugal
r_515,2011-11-11,11/12,Euros Qualifier,Play-off,A,Bosnia and Herzegovina,Portugal,draw,0,0,90,,,,,,,Ronaldo,Portugal
r_514,2011-11-06,11/12,La Liga,,H,Real Madrid,Osasuna,win,3,0,90,9.03,5.0,3.0,1.0,No,"1 pen goal, 2 inside box goal, 1 right foot goal, 2 header goal",Ronaldo,Real Madrid
r_513,2011-11-02,11/12,Champs League,Group,A,Lyon,Real Madrid,win,2,0,90,9.37,9.0,4.0,2.0,Yes,"1 pen goal, 1 free kick goal, 2 right foot goal",Ronaldo,Real Madrid
r_512,2011-10-29,11/12,La Liga,,A,Real Sociedad,Real Madrid,win,0,0,90,7.15,5.0,2.0,0.0,No,,Ronaldo,Real Madrid
r_511,2011-10-26,11/12,La Liga,,H,Real Madrid,Villarreal,win,0,0,90,7.64,2.0,1.0,1.0,No,,Ronaldo,Real Madrid
r_510,2011-10-22,11/12,La Liga,,A,Malaga,Real Madrid,win,3,0,90,10.0,5.0,4.0,2.0,Yes,"3 inside box goal, 1 left foot goal, 2 right foot goal",Ronaldo,Real Madrid
